,Name,Price,County,Make,Model,Trim,Trim Level,Year,Mileage,Fuel Type,Transmission,Body Type,Engine Size (Litres),Power,Acceleration (0-100 km/h),Seats,Doors,Colour,Country of Registration,Previous Owners,Road Tax,NCT Expiry,EURO NCAP Safety Rating,Warranty,Battery Capacity,Battery Range (up to)
375,"Volkswagen Golf, 2016 1.2 TSI AUTO TRENDLINE","€17,450",Dublin,Volkswagen,Golf,Trendline,Base Trim,2016,"106,828 km",Petrol,Automatic,Hatchback,1.2 litre,85hp,11.9 sec,5,5,Blue,Ireland,---,190,Aug 2024,---,3 Month,,
376,"NISSAN JUKE ""NCT AND TAXED""","€5,950",Dublin,Nissan,Juke,,,2010,"171,976 km",Petrol,Manual,SUV,1.6 litre,,,---,5,Grey,Ireland,2,280,Feb 2023,,,,
377,"KIA Sportage PLATINUM SE Sliding Pan Roof, Leather","€17,650",Dublin,KIA,Sportage,PLATINUM,Luxury Trim,2015,"65,804 km",Diesel,Manual,SUV,1.7 litre,115hp,12.3 sec,5,4,White,Ireland,1,280,Feb 2024,5/5,3 Month,,
378,Mercedes-Benz E250CDi Sport Coupe,"€10,995","Waterford City, Waterford",Mercedes-Benz,E-Class,Sport,Sports Trim,2012,"244,500 km",Diesel,Automatic,Coupe,2.1 litre,170hp,7.2 sec,4,2,Silver,Ireland,1,280,Feb 2023,---,,,
379,Ford Focus,"€9,500","Kildare Town, Kildare",Ford,Focus,Zetec,Sports Trim,2016,"230,000 km",Diesel,Manual,Hatchback,1.5 litre,95hp,12.0 sec,5,5,Black,Ireland,2,170,May 2020,5/5,,,
380,Kia Ceed 1.0 GT Line,"€27,995",Dublin,KIA,Ceed,---,---,2023,0 km,Petrol,Manual,Hatchback,1.0 litre,---,---,---,5,Orange,Other,---,---,---,---,,,
381,BMW X1 X1 Sdrive18d Sport,"€48,900",Cork,BMW,X1,Sport,Sports Trim,2021,"39,553 km",Diesel,Automatic,SUV,2.0 litre,150hp,9.2 sec,5,5,Grey,Ireland,---,210,---,---,Available,,
382,Skoda Kodiaq Ambition 7 Seat DSG 2.0 TDI 150BHP -,"€37,950",Dublin,Skoda,Kodiaq,Ambition,Medium Trim,2019,"56,500 km",Diesel,Automatic,SUV,2.0 litre,150hp,10.2 sec,7,4,Grey,Ireland,1,280,May 2023,5/5,2 Year,,
383,Skoda Kodiaq Style 4x4,"€34,500","North County, Dublin",Skoda,Kodiaq,Style,Luxury Trim,2019,"74,500 mi",Diesel,Manual,SUV,2.0 litre,150hp,9.5 sec,7,4,Grey,Ireland,2,390,Feb 2023,5/5,,,
384,Volkswagen Golf 2010,"€7,000",Laois,Volkswagen,Golf,,,2010,"260,000 km",Diesel,Automatic,Hatchback,1.6 litre,,,5,5,Black,Ireland,4,270,May 2023,,,,
